,Edad,Género,Horas_de_uso _de_la_tecnología,Horas_de_uso_de_las_redes_sociales,Horas_de_juego,Horas_de_tiempo_en_pantalla,Estado_de_salud_mental,Nivel_de_estrés,Horas_de_sueño,Horas_de_actividad_física,Acceso_a_sistemas_de_soporte,Impacto_en_el_entorno_laboral
41,60,Otro,5.55,7.83,1.51,8.23,Neutral,Medio,4.62,2.99,No,Negativo
42,40,Hombre,9.24,7.78,2.29,9.01,Mala,Alto,7.35,4.2,Si,Neutral
43,62,Mujer,6.98,3.38,1.54,8.35,Neutral,Alto,6.03,1.84,Si,Neutral
44,28,Otro,5.32,6.4,1.58,4.74,Neutral,Alto,4.63,4.32,Si,Neutral
45,59,Hombre,11.15,7.07,2.66,8.57,Neutral,Bajo,8.6,4.82,Si,Negativo
46,39,Mujer,4.53,3.21,3.15,2.4,Mala,Bajo,4.08,9.41,No,Negativo
47,32,Mujer,3.22,2.13,4.15,5.66,Excelente,Medio,5.37,8.89,Si,Positivo
48,55,Hombre,3.73,1.41,4.16,12.86,Mala,Bajo,8.64,8.36,Si,Positivo
49,34,Otro,7.93,2.95,1.43,7.97265033666125,Buena,Medio,7.59,1.73,Si,Positivo
50,21,Otro,5.95,5.04,1.64,13.2,Excelente,Bajo,6.77,9.5,Si,Neutral
51,40,Hombre,9.98,3.74,1.06,14.73,Neutral,Bajo,8.38,6.66,No,Positivo
52,53,Hombre,1.47,4.36,2.1,1.07,Buena,Medio,5.2,1.89,Si,Negativo
53,55,Mujer,3.58,6.62,1.55,8.34,Excelente,Medio,7.89,2.24,Si,Positivo
54,62,Mujer,8.3,4.01,0.43,13.61,Buena,Bajo,4.39,7.53,No,Neutral
55,40,Otro,7.22,3.36,2.5290282931354366,9.66,Excelente,Alto,4.07,9.86,No,Neutral
56,33,Mujer,9.63,2.89,3.19,6.26,Buena,Bajo,6.493213189312109,3.66,No,Positivo
57,57,Hombre,5.13,0.63,4.04,2.37,Neutral,Medio,5.48,9.37,Si,Negativo
58,27,Mujer,1.79,2.5,0.62,8.65,Mala,Alto,8.01,5.28,Si,Negativo
59,47,Mujer,11.46,4.81,4.68,1.2,Neutral,Medio,6.43,7.89,No,Neutral
60,21,Hombre,6.24,0.37,2.25,13.77,Excelente,Bajo,7.61,5.63,Si,Positivo
61,50,Otro,8.45,1.31,4.63,7.97265033666125,Buena,Medio,6.48,4.38,Si,Neutral
62,50,Hombre,2.02,5.62,1.63,1.81,Mala,Medio,7.54,9.1,No,Negativo
63,59,Mujer,7.26,6.64,1.25,8.02,Mala,Bajo,4.78,0.23,No,Neutral
64,48,Otro,6.51,2.21,2.3,7.97265033666125,Excelente,Bajo,7.5,1.21,Si,Neutral
65,36,Otro,7.66,0.11,2.5290282931354366,9.26,Mala,Alto,6.63,0.46,No,Positivo
66,44,Otro,5.54,3.973487447461093,0.55,10.89,Neutral,Medio,4.03,6.27,Si,Neutral
67,60,Mujer,1.69,7.5,1.44,6.69,Mala,Alto,8.13,0.85,No,Positivo
68,19,Otro,11.33,2.4,3.19,8.07,Neutral,Medio,4.77,2.22,Si,Neutral
69,64,Mujer,3.1,3.56,1.4,1.02,Neutral,Alto,4.99,9.79,Si,Negativo
70,22,Mujer,11.11,1.5,1.58,13.31,Buena,Medio,4.34,2.66,No,Neutral
71,51,Mujer,9.65,5.54,3.76,7.5,Buena,Bajo,4.28,4.65,No,Negativo
72,28,Otro,5.03,2.43,3.66,3.87,Buena,Bajo,5.11,2.24,Si,Positivo
73,23,Mujer,3.4,1.01,0.03,7.96,Mala,Medio,6.33,4.05,Si,Positivo
74,51,Otro,3.16,7.44,1.58,10.28,Mala,Bajo,7.69,8.36,No,Neutral
75,48,Hombre,9.01,6.8,1.02,11.19,Neutral,Medio,6.68,2.79,Si,Neutral
76,34,Mujer,4.61,6.27,2.5290282931354366,8.08,Mala,Alto,4.8,2.28,Si,Negativo
77,51,Hombre,8.68,3.66,1.95,14.71,Excelente,Bajo,5.17,4.83,Si,Positivo
78,35,Mujer,5.44,4.65,2.22,13.41,Mala,Bajo,8.76,4.89,No,Positivo
79,46,Mujer,6.35,4.4,3.33,12.43,Buena,Alto,5.88,1.85,No,Negativo
80,59,Hombre,6.65,1.98,0.63,6.53,Excelente,Bajo,4.79,5.12,No,Positivo
81,29,Mujer,2.04,1.5,0.11,6.69,Neutral,Medio,7.66,2.96,Si,Neutral
82,45,Otro,3.62,4.73,3.31,6.73,Neutral,Bajo,7.72,7.96,Si,Positivo
83,35,Otro,6.8,6.16,4.6,6.88,Neutral,Bajo,8.33,8.28,No,Negativo
84,63,Hombre,2.15,3.973487447461093,4.2,2.1,Excelente,Bajo,8.24,2.34,Si,Negativo
85,32,Otro,4.63,3.31,3.66,2.3,Neutral,Bajo,6.98,5.32,No,Neutral
86,29,Hombre,5.88,6.35,0.36,10.74,Buena,Alto,6.28,9.69,No,Positivo
87,19,Mujer,10.11,7.19,0.17,11.45,Excelente,Bajo,8.71,9.18,No,Positivo
88,20,Hombre,11.98,1.87,2.5290282931354366,7.97265033666125,Neutral,Medio,6.99,6.03,Si,Positivo
89,50,Otro,3.69,2.21,1.96,7.94,Mala,Alto,8.55,7.03,No,Positivo
90,53,Mujer,3.29,0.12,0.95,11.8,Buena,Alto,7.17,1.57,Si,Positivo
91,53,Otro,1.55,2.21,2.5290282931354366,2.96,Excelente,Medio,8.64,2.29,Si,Negativo
92,56,Otro,4.37,2.39,1.61,1.39,Buena,Medio,5.94,8.39,No,Positivo
93,19,Hombre,11.14,6.27,3.15,13.1,Buena,Bajo,5.4,5.75,No,Neutral
94,54,Mujer,5.52,0.5,2.05,14.28,Excelente,Alto,4.56,0.05,No,Neutral
95,45,Hombre,1.28,7.18,0.69,3.19,Mala,Alto,8.59,7.34,Si,Negativo
96,61,Mujer,5.7,4.07,2.19,8.79,Neutral,Medio,5.51,5.16,No,Positivo
97,59,Otro,1.66,7.38,3.18,5.55,Neutral,Alto,4.4,6.51,Si,Neutral
98,29,Otro,4.63,4.27,0.91,3.76,Buena,Medio,6.09,3.36,No,Neutral
99,19,Otro,4.41,1.93,1.83,9.98,Neutral,Bajo,5.93,7.64,No,Negativo
100,34,Mujer,4.31,0.94,2.75,5.58,Excelente,Alto,4.49,8.86,Si,Negativo
101,62,Otro,6.444081563103487,2.69,3.7,14.55,Excelente,Alto,6.15,4.1,No,Positivo
102,20,Otro,10.84,1.7,2.61,13.17,Neutral,Medio,5.57,9.0,Si,Positivo
103,42,Hombre,6.12,6.7,4.5,4.34,Buena,Bajo,6.36,8.66,No,Positivo
104,58,Mujer,3.08,0.77,2.72,5.93,Neutral,Alto,8.99,4.56,No,Neutral
105,47,Otro,11.0,1.64,4.33,8.62,Excelente,Medio,4.34,4.44,No,Positivo
106,63,Hombre,5.81,1.44,1.76,1.05,Buena,Medio,5.86,8.4,Si,Positivo
107,48,Mujer,8.64,1.18,4.9,8.57,Neutral,Bajo,6.493213189312109,9.93,No,Neutral
108,25,Hombre,4.81,7.0,3.58,13.65,Buena,Bajo,6.31,9.26,Si,Neutral
109,50,Hombre,11.63,3.33,1.87,7.97265033666125,Mala,Medio,8.57,8.47,No,Neutral
110,46,Hombre,2.01,0.32,3.72,9.45,Buena,Medio,5.09,3.01,No,Negativo
111,45,Otro,5.79,0.3,4.41,14.73,Buena,Bajo,5.52,6.12,No,Negativo
112,64,Mujer,11.59,5.33,4.5,13.11,Neutral,Alto,5.16,4.86,No,Positivo
113,20,Otro,10.94,3.41,0.96,3.32,Excelente,Bajo,8.66,6.07,No,Positivo
114,56,Otro,2.42,2.68,1.18,3.36,Excelente,Bajo,4.67,2.91,No,Neutral
115,39,Otro,3.74,1.28,0.8,10.08,Neutral,Alto,4.1,9.58,No,Neutral
116,35,Mujer,4.02,5.24,3.04,9.99,Mala,Medio,8.97,0.66,Si,Neutral
117,38,Hombre,11.49,4.36,2.09,13.41,Buena,Alto,4.7,5.6,Si,Positivo
118,58,Otro,5.46,1.28,4.59,13.92,Neutral,Alto,5.32,8.41,No,Neutral
119,63,Hombre,6.91,5.97,2.83,6.26,Mala,Bajo,8.61,8.03,No,Negativo
120,52,Otro,2.17,6.89,1.54,2.56,Excelente,Medio,7.35,0.44,No,Neutral
121,64,Mujer,9.45,2.64,4.97,11.34,Buena,Alto,6.93,9.98,No,Positivo
122,55,Hombre,10.41,6.62,3.23,3.42,Excelente,Medio,5.57,5.22,Si,Neutral
123,25,Hombre,10.5,6.98,3.8,13.15,Buena,Alto,4.03,1.29,Si,Negativo
124,39,Mujer,1.68,2.08,0.27,14.82,Mala,Bajo,5.43,2.58,No,Neutral
125,52,Hombre,2.15,6.29,2.9,8.53,Buena,Medio,8.59,2.66,No,Negativo
126,50,Otro,3.37,6.3,1.54,6.33,Excelente,Medio,8.55,9.22,No,Neutral
127,63,Mujer,2.47,3.28,2.87,1.8,Buena,Alto,4.08,0.84,Si,Neutral
128,63,Otro,2.63,0.03,1.57,7.97265033666125,Mala,Bajo,8.6,1.24,Si,Neutral
129,42,Otro,3.82,2.56,4.05,3.04,Buena,Medio,6.13,9.94,Si,Positivo
130,53,Hombre,1.57,0.84,2.5290282931354366,8.41,Neutral,Medio,6.07,9.5,Si,Positivo
131,28,Mujer,5.73,1.04,3.31,14.39,Mala,Medio,6.77,3.74,No,Neutral
132,56,Otro,8.36,3.87,0.02,13.22,Excelente,Medio,4.86,6.52,No,Positivo
133,35,Hombre,9.69,2.26,3.26,6.7,Buena,Bajo,6.54,3.64,No,Negativo
134,39,Hombre,4.04,7.93,1.3,12.95,Neutral,Bajo,8.01,0.48,Si,Neutral
135,34,Mujer,11.87,0.2,0.56,12.18,Neutral,Alto,4.09,0.96,Si,Neutral
136,56,Otro,11.36,4.62,0.36,11.91,Mala,Medio,6.13,2.26,No,Neutral
137,26,Hombre,8.57,7.76,1.28,12.54,Excelente,Alto,5.91,2.92,Si,Neutral
138,29,Hombre,5.56,6.75,3.84,4.52,Neutral,Bajo,7.2,7.87,Si,Neutral
139,29,Mujer,4.04,2.0,1.35,10.08,Excelente,Bajo,8.78,5.72,No,Negativo
140,46,Hombre,5.43,0.01,1.66,7.14,Neutral,Alto,6.74,2.56,No,Neutral
141,51,Mujer,9.73,5.65,4.83,10.72,Buena,Alto,5.34,8.59,No,Neutral
142,55,Mujer,7.22,5.78,3.25,7.68,Mala,Alto,8.18,0.78,No,Negativo
143,33,Hombre,8.6,1.11,4.54,5.19,Buena,Bajo,5.01,3.64,Si,Negativo
144,18,Mujer,10.93,6.34,2.01,7.6,Excelente,Bajo,8.07,3.77,No,Negativo
145,29,Hombre,3.66,2.12,4.32,12.0,Neutral,Alto,7.68,5.02,Si,Neutral
146,30,Hombre,2.48,2.44,2.98,7.97265033666125,Buena,Medio,5.43,5.49,No,Neutral
147,21,Hombre,5.9,4.77,3.04,13.93,Buena,Medio,8.19,7.89,Si,Positivo
148,38,Mujer,8.38,1.47,3.89,5.0,Excelente,Alto,6.2,5.004031782065835,Si,Neutral
149,49,Hombre,4.29,0.35,0.45,11.63,Buena,Alto,7.8,1.61,Si,Neutral
150,54,Otro,9.89,6.48,1.25,1.17,Buena,Alto,4.55,2.91,No,Neutral
151,26,Hombre,1.03,4.85,1.66,4.61,Excelente,Bajo,7.97,1.06,No,Negativo
152,65,Otro,7.58,7.92,1.62,1.4,Neutral,Bajo,5.2,7.24,No,Neutral
153,51,Hombre,2.21,5.12,1.19,3.88,Excelente,Medio,8.14,0.1,No,Neutral
154,59,Mujer,5.77,2.18,2.46,10.91,Mala,Medio,8.79,4.0,No,Neutral
155,42,Mujer,4.63,2.22,1.0,13.11,Buena,Bajo,5.84,8.09,Si,Positivo
156,50,Hombre,11.95,1.87,0.25,2.39,Mala,Alto,4.3,7.09,Si,Neutral
157,37,Otro,7.96,5.36,0.71,4.35,Buena,Medio,8.74,4.4,Si,Positivo
158,25,Mujer,7.44,6.36,2.46,13.65,Excelente,Bajo,8.97,5.81,Si,Negativo
159,49,Hombre,8.22,4.6,4.31,7.97265033666125,Excelente,Alto,7.37,2.02,Si,Neutral
160,64,Mujer,8.11,6.28,3.42,4.27,Neutral,Alto,7.02,3.27,No,Positivo
161,46,Hombre,10.59,7.1,1.26,6.28,Excelente,Alto,5.7,5.13,Si,Positivo
162,65,Otro,11.86,4.95,2.14,1.45,Mala,Alto,6.16,5.38,Si,Neutral
163,18,Otro,3.92,2.44,3.21,4.41,Excelente,Medio,5.4,7.98,No,Negativo
164,52,Hombre,6.85,6.18,1.76,7.97265033666125,Neutral,Alto,8.22,9.03,Si,Neutral
165,21,Hombre,10.83,0.73,0.66,11.48,Buena,Alto,7.33,8.69,No,Negativo
166,64,Otro,8.35,2.72,3.73,14.6,Buena,Alto,8.38,5.61,Si,Negativo
167,62,Otro,5.84,6.76,2.79,1.74,Mala,Bajo,6.18,9.36,Si,Positivo
168,60,Hombre,8.33,1.05,2.3,14.98,Neutral,Bajo,4.31,6.08,No,Neutral
169,39,Hombre,7.67,3.24,1.66,6.33,Mala,Medio,7.03,8.93,No,Neutral
170,40,Otro,10.71,4.11,2.5290282931354366,3.24,Neutral,Alto,6.18,3.19,Si,Neutral
171,58,Mujer,11.61,2.12,4.44,1.97,Buena,Bajo,7.92,9.2,Si,Negativo
172,30,Hombre,8.15,5.74,3.46,9.58,Excelente,Alto,6.31,5.004031782065835,Si,Positivo
173,36,Otro,5.83,1.55,2.66,4.29,Neutral,Medio,4.38,9.46,Si,Neutral
174,39,Mujer,4.56,1.28,4.17,2.73,Mala,Bajo,4.83,6.54,Si,Negativo
175,52,Hombre,10.61,4.53,4.48,2.04,Mala,Alto,5.92,3.41,Si,Neutral
176,52,Mujer,5.16,6.61,0.43,7.97,Buena,Bajo,5.5,1.67,Si,Negativo
177,55,Otro,9.9,3.86,4.91,5.24,Neutral,Medio,5.0,6.72,Si,Neutral
178,38,Mujer,5.69,0.3,1.45,8.03,Neutral,Bajo,7.71,1.55,Si,Neutral
179,38,Mujer,7.1,3.08,1.08,10.59,Buena,Alto,8.63,9.35,Si,Neutral
180,49,Mujer,8.78,7.33,2.26,2.54,Mala,Bajo,4.64,3.8,No,Positivo
181,42,Hombre,3.78,7.54,3.26,4.86,Mala,Bajo,5.7,8.64,No,Negativo
182,36,Otro,5.34,1.39,2.09,5.4,Excelente,Alto,7.17,9.62,Si,Positivo
183,45,Mujer,6.31,7.16,4.93,4.75,Buena,Alto,7.16,8.6,No,Negativo
184,60,Hombre,1.82,2.27,4.4,10.55,Neutral,Medio,7.21,3.27,No,Negativo
185,64,Otro,2.53,4.1,4.82,10.13,Neutral,Bajo,4.5,3.56,Si,Positivo
186,44,Mujer,5.14,5.82,2.2,3.99,Buena,Medio,5.26,8.77,No,Neutral
187,34,Hombre,7.02,3.56,1.83,1.64,Excelente,Bajo,6.19,8.55,Si,Positivo
188,33,Otro,9.24,6.93,0.89,14.33,Buena,Alto,6.91,0.54,No,Negativo
189,26,Hombre,3.28,3.44,0.14,9.08,Neutral,Medio,4.05,2.05,Si,Neutral
190,49,Hombre,8.04,3.1,3.59,14.3,Excelente,Medio,7.6,8.9,No,Negativo
191,44,Mujer,7.91,3.52,3.0,9.94,Mala,Medio,7.04,2.86,No,Negativo
192,37,Hombre,5.2,4.55,0.4,14.61,Buena,Bajo,6.79,4.51,No,Positivo
193,28,Hombre,1.83,3.68,2.2,5.29,Mala,Alto,4.22,2.47,No,Neutral
194,41,Otro,4.15,3.44,2.64,8.62,Buena,Medio,4.02,7.95,No,Positivo
195,26,Hombre,3.61,3.2,3.3,1.46,Mala,Bajo,5.18,3.23,No,Negativo
196,59,Hombre,4.99,7.07,1.18,3.83,Mala,Medio,5.12,8.7,Si,Negativo
197,43,Otro,7.72,5.92,2.52,10.49,Neutral,Alto,5.89,0.2,No,Neutral
198,40,Mujer,4.46,2.06,4.31,3.29,Buena,Bajo,8.53,1.89,Si,Positivo
199,55,Hombre,6.07,6.88,4.11,2.84,Buena,Bajo,7.81,2.2,No,Negativo
200,46,Mujer,9.94,5.5,3.2,8.24,Excelente,Alto,6.53,0.26,No,Positivo
201,23,Hombre,9.57,1.18,0.76,9.46,Mala,Bajo,6.64,2.54,Si,Negativo
202,47,Hombre,3.46,2.98,0.29,6.23,Neutral,Medio,5.62,1.49,Si,Neutral
203,39,Otro,10.81,2.34,2.34,4.81,Mala,Medio,8.19,6.46,Si,Negativo
204,48,Otro,10.11,6.63,1.45,9.77,Buena,Bajo,8.07,1.08,No,Neutral
205,21,Otro,6.22,3.98,4.37,3.01,Buena,Alto,6.09,5.004031782065835,Si,Negativo
206,19,Mujer,10.09,0.9,0.81,12.94,Buena,Medio,4.49,4.82,No,Positivo
207,25,Otro,9.9,5.54,2.2,5.24,Neutral,Alto,5.43,3.71,No,Positivo
208,49,Hombre,7.35,4.11,0.36,6.36,Excelente,Bajo,4.17,3.95,Si,Neutral
209,27,Hombre,1.22,7.33,1.78,13.56,Buena,Medio,8.53,7.33,No,Positivo
210,27,Hombre,3.03,0.39,3.54,1.59,Mala,Medio,7.59,2.74,Si,Neutral
211,20,Hombre,6.86,5.16,4.64,1.19,Buena,Medio,8.14,5.97,No,Positivo
212,58,Otro,11.79,5.57,4.65,2.69,Excelente,Alto,5.2,1.78,No,Positivo
213,22,Mujer,5.88,1.84,2.73,7.26,Excelente,Medio,7.01,0.61,Si,Negativo
214,22,Otro,10.29,0.93,1.56,3.1,Neutral,Bajo,7.45,0.29,No,Positivo
215,62,Otro,3.78,3.58,0.72,5.14,Buena,Alto,7.1,9.3,Si,Neutral
216,64,Otro,9.84,1.13,2.5290282931354366,13.43,Buena,Medio,5.26,9.32,No,Negativo
217,33,Otro,6.29,0.65,2.44,1.57,Excelente,Alto,5.21,4.16,Si,Negativo
218,23,Hombre,11.59,7.87,2.42,6.18,Excelente,Medio,4.05,1.07,No,Neutral
219,34,Hombre,4.85,6.26,1.61,8.34,Excelente,Medio,8.12,8.44,Si,Positivo
220,33,Otro,11.19,6.34,1.58,5.83,Buena,Medio,6.41,8.33,Si,Negativo
221,47,Otro,6.43,7.89,2.66,2.47,Excelente,Alto,4.78,9.47,No,Positivo
222,38,Otro,9.86,1.99,0.02,13.62,Excelente,Medio,7.04,9.23,No,Neutral
223,45,Otro,4.7,6.21,2.84,12.73,Neutral,Alto,6.1,2.84,No,Negativo
224,30,Hombre,9.99,7.06,4.96,7.22,Excelente,Medio,5.48,1.3,No,Neutral
225,51,Hombre,8.94,1.64,0.55,3.8,Excelente,Alto,6.52,3.91,Si,Neutral
226,56,Mujer,1.69,6.11,3.71,3.26,Mala,Bajo,5.76,3.95,Si,Positivo
227,37,Hombre,1.94,3.76,2.63,1.3,Mala,Bajo,6.65,5.13,No,Negativo
228,56,Hombre,3.99,4.41,0.16,10.74,Excelente,Bajo,4.88,1.02,Si,Positivo
229,48,Otro,4.36,7.37,3.0,5.29,Buena,Bajo,7.51,1.38,Si,Negativo
230,65,Mujer,1.76,2.33,4.02,12.11,Buena,Alto,7.07,4.95,Si,Positivo
231,57,Mujer,3.51,2.96,3.69,13.78,Excelente,Bajo,6.42,3.29,No,Neutral
232,53,Otro,2.07,5.3,1.35,4.5,Mala,Alto,8.13,7.19,No,Positivo
233,25,Otro,6.444081563103487,1.47,0.89,4.77,Buena,Alto,6.1,3.08,No,Positivo
234,64,Otro,5.76,6.52,2.14,2.42,Excelente,Alto,5.11,3.42,No,Neutral
235,42,Hombre,9.41,1.11,3.3,6.67,Neutral,Bajo,4.75,0.46,No,Negativo
236,43,Otro,8.58,1.9,3.47,12.92,Neutral,Medio,5.7,5.004031782065835,No,Negativo
237,32,Otro,5.47,2.44,3.09,4.71,Excelente,Alto,5.91,0.85,Si,Negativo
238,18,Otro,5.93,3.7,2.18,13.67,Neutral,Bajo,5.97,8.52,No,Positivo
239,28,Hombre,3.66,3.29,4.42,12.6,Neutral,Bajo,4.97,0.28,Si,Negativo
240,25,Mujer,9.42,0.62,2.34,6.75,Buena,Bajo,4.32,8.43,Si,Positivo
241,30,Mujer,11.78,5.32,0.11,4.24,Mala,Alto,7.56,8.58,Si,Negativo
242,27,Hombre,4.28,6.15,4.92,14.85,Buena,Bajo,5.22,9.7,No,Positivo
243,65,Otro,1.49,0.21,3.89,2.4,Neutral,Medio,8.67,0.7,Si,Negativo
244,38,Hombre,7.32,3.71,3.05,2.25,Buena,Bajo,8.36,2.52,Si,Negativo
245,55,Otro,6.444081563103487,7.41,2.28,14.86,Excelente,Bajo,8.17,6.87,Si,Negativo
246,31,Hombre,10.94,2.36,4.6,14.32,Mala,Alto,7.35,4.86,No,Neutral
247,55,Otro,10.14,4.93,3.46,6.05,Neutral,Alto,4.99,1.86,Si,Positivo
248,46,Hombre,1.63,7.78,3.26,5.16,Excelente,Alto,4.76,7.54,Si,Positivo
249,25,Mujer,6.3,7.1,2.08,4.06,Neutral,Medio,6.15,0.48,No,Negativo
250,20,Mujer,3.92,7.35,1.06,11.5,Buena,Bajo,8.35,3.27,No,Positivo
251,45,Hombre,4.99,7.48,0.74,6.62,Neutral,Bajo,4.38,6.77,No,Neutral
252,62,Hombre,10.56,0.97,4.64,2.86,Buena,Alto,5.44,0.35,Si,Positivo
253,48,Otro,3.43,4.94,2.44,5.0,Buena,Medio,8.52,7.88,Si,Positivo
254,28,Hombre,7.43,7.58,0.8,11.85,Neutral,Bajo,6.493213189312109,9.55,Si,Neutral
255,56,Hombre,11.93,4.55,3.02,5.51,Excelente,Bajo,6.82,2.44,No,Positivo
256,63,Hombre,6.39,5.49,0.96,11.52,Neutral,Alto,4.32,2.81,No,Negativo
257,40,Hombre,7.49,4.95,3.12,1.85,Mala,Bajo,5.88,0.59,No,Positivo
258,60,Mujer,6.11,5.99,1.2,13.12,Neutral,Alto,7.48,9.08,No,Positivo
259,65,Mujer,7.75,4.62,0.18,10.38,Excelente,Medio,8.86,3.73,Si,Positivo
260,46,Hombre,7.84,1.3,1.65,3.46,Excelente,Bajo,4.74,6.81,Si,Neutral
261,58,Otro,10.3,3.82,4.62,12.85,Excelente,Medio,8.51,4.4,Si,Positivo
262,61,Hombre,6.77,1.7,2.94,5.03,Excelente,Bajo,7.88,7.94,No,Neutral
263,32,Otro,3.99,0.47,1.92,4.03,Mala,Medio,5.97,6.64,No,Neutral
264,51,Mujer,5.81,3.55,2.96,2.33,Excelente,Bajo,4.58,0.9,Si,Neutral
265,58,Mujer,10.45,1.91,0.74,7.78,Neutral,Medio,7.66,8.34,Si,Neutral
266,25,Mujer,2.14,2.67,0.47,13.67,Excelente,Alto,7.42,6.0,No,Positivo
267,39,Mujer,4.49,5.76,1.81,1.49,Excelente,Bajo,6.31,9.52,Si,Negativo
268,29,Hombre,4.1,1.21,0.46,13.34,Neutral,Medio,6.8,8.95,No,Positivo
269,35,Hombre,5.44,0.64,3.03,8.48,Neutral,Alto,4.37,3.23,Si,Positivo
270,20,Hombre,6.66,2.54,1.19,2.39,Mala,Alto,8.0,8.59,Si,Negativo
271,41,Otro,7.36,7.92,3.88,7.52,Buena,Alto,4.33,6.39,Si,Neutral
272,51,Otro,3.71,3.91,2.82,4.93,Neutral,Bajo,7.94,6.86,No,Negativo
273,21,Otro,4.43,5.02,4.62,10.86,Excelente,Medio,4.4,4.46,No,Negativo
274,39,Hombre,4.26,7.53,4.96,7.49,Mala,Alto,4.07,9.83,Si,Negativo
275,20,Otro,11.48,4.16,1.06,6.03,Mala,Bajo,5.61,5.89,No,Neutral
