User_ID,Age,Gender,Technology_Usage_Hours,Social_Media_Usage_Hours,Gaming_Hours,Screen_Time_Hours,Mental_Health_Status,Stress_Level,Sleep_Hours,Physical_Activity_Hours,Support_Systems_Access,Work_Environment_Impact,Online_Support_Usage
USER-00076,27.0,Female,1.79,2.5,0.62,8.65,Poor,High,8.01,5.28,Yes,Negative,
USER-00077,47.0,Female,11.46,4.81,4.68,1.2,Fair,Medium,6.43,7.89,No,Neutral,
USER-00078,32.0,Other,10.7,invalid,1.09,14.62,Excellent,High,4.31,8.62,Yes,Negative,
USER-00079,59.0,Other,8.72,4.89,4.94,6.37,Poor,invalid,7.47,3.44,No,Positive,
USER-00080,21.0,Male,6.24,0.37,2.25,13.77,Excellent,Low,7.61,5.63,Yes,Positive,
USER-00081,50.0,Other,8.45,1.31,4.63,,Good,Medium,6.48,4.38,Yes,Neutral,
USER-00082,50.0,Male,2.02,5.62,1.63,1.81,Poor,Medium,7.54,9.1,No,Negative,
USER-00083,59.0,Female,7.26,6.64,1.25,8.02,Poor,Low,4.78,0.23,No,Neutral,
USER-00084,48.0,Other,6.51,2.21,2.3,,Excellent,Low,7.5,1.21,Yes,Neutral,
USER-00085,invalid,Female,4.77,6.24,3.01,4.47,Excellent,Low,4.52,8.2,No,Neutral,
USER-00086,36.0,Other,7.66,0.11,,9.26,Poor,High,6.63,0.46,No,Positive,
USER-00087,44.0,Other,5.54,,0.55,10.89,Fair,Medium,4.03,6.27,Yes,Neutral,
USER-00088,60.0,Female,1.69,7.5,1.44,6.69,Poor,High,8.13,0.85,No,Positive,
USER-00089,19.0,Other,11.33,2.4,3.19,8.07,Fair,Medium,4.77,2.22,Yes,Neutral,
USER-00090,64.0,Female,3.1,3.56,1.4,1.02,Fair,High,4.99,9.79,Yes,Negative,
USER-00091,22.0,Female,11.11,1.5,1.58,13.31,Good,,4.34,2.66,No,Neutral,
USER-00092,51.0,Female,9.65,5.54,3.76,7.5,Good,Low,4.28,4.65,No,Negative,
USER-00093,40.0,Female,1.16,0.17,3.43,6.95,Excellent,Medium,8.23,3.5,,Neutral,
USER-00094,28.0,Other,5.03,2.43,3.66,3.87,Good,Low,5.11,2.24,Yes,Positive,
USER-00095,23.0,Female,3.4,1.01,0.03,7.96,Poor,Medium,6.33,4.05,Yes,Positive,
,51.0,Other,3.16,7.44,1.58,10.28,Poor,Low,7.69,8.36,No,Neutral,
USER-00097,48.0,Male,9.01,6.8,1.02,11.19,Fair,Medium,6.68,2.79,Yes,Neutral,
USER-00098,44.0,Male,1.51,3.04,3.81,2.61,Good,Medium,8.82,6.66,invalid,invalid,
USER-00099,34.0,Female,4.61,6.27,,8.08,Poor,High,4.8,2.28,Yes,Negative,
USER-00100,51.0,Male,8.68,3.66,1.95,14.71,Excellent,Low,5.17,4.83,Yes,Positive,
USER-00101,35.0,Female,5.44,4.65,2.22,13.41,Poor,Low,8.76,4.89,No,Positive,
USER-00102,46.0,Female,6.35,4.4,3.33,12.43,Good,High,5.88,1.85,No,Negative,
USER-00103,60.0,Other,invalid,0.55,,3.5,Poor,High,4.09,3.41,Yes,Positive,
USER-00104,59.0,Male,6.65,1.98,0.63,6.53,Excellent,Low,4.79,5.12,No,Positive,
USER-00105,29.0,Female,2.04,1.5,0.11,6.69,Fair,Medium,7.66,2.96,Yes,Neutral,
USER-00106,45.0,Other,3.62,4.73,3.31,6.73,Fair,Low,7.72,7.96,Yes,Positive,
USER-00107,35.0,Other,6.8,6.16,4.6,6.88,Fair,Low,8.33,8.28,No,Negative,
USER-00108,63.0,Male,2.15,,4.2,2.1,Excellent,Low,8.24,2.34,Yes,Negative,
USER-00109,32.0,Other,4.63,3.31,3.66,2.3,Fair,Low,6.98,5.32,No,Neutral,
USER-00110,29.0,Male,5.88,6.35,0.36,10.74,Good,High,6.28,9.69,No,Positive,
USER-00111,44.0,Male,3.0,2.99,3.06,9.14,Good,Low,5.42,7.4,invalid,Neutral,
USER-00112,19.0,Female,10.11,7.19,0.17,11.45,Excellent,Low,8.71,9.18,No,Positive,
USER-00113,20.0,Male,11.98,1.87,,,Fair,Medium,6.99,6.03,Yes,Positive,
USER-00114,50.0,Other,3.69,2.21,1.96,7.94,Poor,High,8.55,7.03,No,Positive,
USER-00115,53.0,Female,3.29,0.12,0.95,11.8,Good,High,7.17,1.57,Yes,Positive,
USER-00116,53.0,Other,1.55,2.21,,2.96,Excellent,Medium,8.64,2.29,Yes,Negative,
USER-00117,56.0,Other,4.37,2.39,1.61,1.39,Good,Medium,5.94,8.39,No,Positive,
USER-00118,19.0,Male,11.14,6.27,3.15,13.1,Good,Low,5.4,5.75,No,Neutral,
USER-00119,54.0,Female,5.52,0.5,2.05,14.28,Excellent,High,4.56,0.05,No,Neutral,
USER-00120,45.0,Male,1.28,7.18,0.69,3.19,Poor,High,8.59,7.34,Yes,Negative,
USER-00121,61.0,Female,5.7,4.07,2.19,8.79,Fair,Medium,5.51,5.16,No,Positive,
USER-00122,59.0,Other,1.66,7.38,3.18,5.55,,High,4.4,6.51,Yes,Neutral,
USER-00123,54.0,Male,4.54,3.84,2.17,9.28,Fair,Low,7.25,9.93,,Neutral,
USER-00124,29.0,Other,4.63,4.27,0.91,3.76,Good,Medium,6.09,3.36,No,Neutral,
USER-00125,19.0,Other,4.41,1.93,1.83,9.98,,Low,5.93,7.64,No,Negative,
USER-00126,34.0,Female,4.31,0.94,2.75,5.58,Excellent,High,4.49,8.86,Yes,Negative,
USER-00127,62.0,Other,,2.69,3.7,14.55,Excellent,High,6.15,4.1,No,Positive,
USER-00128,20.0,Other,10.84,1.7,2.61,13.17,Fair,Medium,5.57,9.0,Yes,Positive,
USER-00129,18.0,Female,4.88,0.07,2.91,8.63,Excellent,High,4.26,3.6,,Neutral,
USER-00130,42.0,Male,6.12,6.7,4.5,4.34,Good,Low,6.36,8.66,No,Positive,
USER-00131,58.0,Female,3.08,0.77,2.72,5.93,Fair,High,8.99,4.56,No,Neutral,
USER-00132,47.0,Other,11.0,1.64,4.33,8.62,Excellent,Medium,4.34,4.44,No,Positive,
USER-00133,63.0,Male,5.81,1.44,1.76,1.05,Good,Medium,5.86,8.4,Yes,Positive,
USER-00134,48.0,Female,8.64,1.18,4.9,8.57,Fair,Low,,9.93,No,Neutral,
USER-00135,25.0,Male,4.81,7.0,3.58,13.65,Good,Low,6.31,9.26,Yes,Neutral,
USER-00136,50.0,Male,11.63,3.33,1.87,,Poor,Medium,8.57,8.47,No,Neutral,
USER-00137,46.0,Male,2.01,0.32,3.72,9.45,Good,Medium,5.09,3.01,No,Negative,
USER-00138,45.0,Other,5.79,0.3,4.41,14.73,Good,Low,5.52,6.12,No,Negative,
USER-00139,64.0,Female,11.59,5.33,4.5,13.11,Fair,High,5.16,4.86,No,Positive,
USER-00140,26.0,Female,11.84,6.76,,14.89,invalid,Medium,5.22,2.5,No,Neutral,
USER-00141,20.0,Other,10.94,3.41,0.96,3.32,Excellent,Low,8.66,6.07,No,Positive,
USER-00142,56.0,Other,2.42,2.68,1.18,3.36,Excellent,Low,4.67,2.91,No,Neutral,
USER-00143,39.0,Other,3.74,1.28,0.8,10.08,Fair,High,4.1,9.58,No,Neutral,
USER-00144,35.0,Female,4.02,5.24,3.04,9.99,Poor,Medium,8.97,0.66,Yes,Neutral,
USER-00145,38.0,Male,11.49,4.36,2.09,13.41,Good,High,4.7,5.6,Yes,Positive,
USER-00146,58.0,Other,5.46,1.28,4.59,13.92,Fair,High,5.32,8.41,No,Neutral,
USER-00147,63.0,Male,6.91,5.97,2.83,6.26,Poor,Low,8.61,8.03,No,Negative,
USER-00148,52.0,Other,2.17,6.89,1.54,2.56,Excellent,Medium,7.35,0.44,No,Neutral,
USER-00149,64.0,Female,9.45,2.64,4.97,11.34,Good,High,6.93,9.98,No,Positive,
USER-00150,55.0,Male,10.41,6.62,3.23,3.42,Excellent,Medium,5.57,5.22,Yes,Neutral,
USER-00151,25.0,Male,10.5,6.98,3.8,13.15,Good,High,4.03,1.29,Yes,Negative,
USER-00152,39.0,Female,1.68,2.08,0.27,14.82,Poor,Low,5.43,2.58,No,Neutral,
USER-00153,35.0,Male,3.46,1.32,4.48,4.84,invalid,Medium,4.06,6.62,No,Neutral,
USER-00154,52.0,Male,2.15,6.29,2.9,8.53,Good,Medium,8.59,2.66,No,Negative,
USER-00155,50.0,Other,3.37,6.3,1.54,6.33,Excellent,Medium,8.55,9.22,No,Neutral,
USER-00156,63.0,Female,2.47,3.28,2.87,1.8,Good,High,4.08,0.84,Yes,Neutral,
USER-00157,63.0,Other,2.63,0.03,1.57,,Poor,Low,8.6,1.24,Yes,Neutral,
USER-00158,35.0,Female,6.57,0.33,,5.42,invalid,Low,8.37,8.57,No,Negative,
USER-00159,42.0,Other,3.82,2.56,4.05,3.04,Good,Medium,6.13,9.94,Yes,Positive,
USER-00160,53.0,Male,1.57,0.84,,8.41,Fair,Medium,6.07,9.5,Yes,Positive,
USER-00161,28.0,Female,5.73,1.04,3.31,14.39,Poor,,6.77,3.74,No,Neutral,
USER-00162,56.0,Other,8.36,3.87,0.02,13.22,Excellent,Medium,4.86,6.52,No,Positive,
USER-00163,35.0,Male,9.69,2.26,3.26,6.7,Good,Low,6.54,3.64,No,Negative,
USER-00164,39.0,Male,4.04,7.93,1.3,12.95,Fair,Low,8.01,0.48,Yes,Neutral,
USER-00165,34.0,Female,11.87,0.2,0.56,12.18,Fair,High,4.09,0.96,Yes,Neutral,
USER-00166,56.0,Other,11.36,4.62,0.36,11.91,Poor,Medium,6.13,2.26,No,Neutral,
USER-00167,26.0,Male,8.57,7.76,1.28,12.54,Excellent,High,5.91,2.92,Yes,Neutral,
USER-00168,29.0,Male,5.56,6.75,3.84,4.52,Fair,Low,7.2,7.87,Yes,Neutral,
USER-00169,29.0,Female,4.04,2.0,1.35,10.08,Excellent,Low,8.78,5.72,No,Negative,
USER-00170,46.0,Male,5.43,0.01,1.66,7.14,Fair,High,6.74,2.56,No,Neutral,
USER-00171,51.0,Female,9.73,5.65,4.83,10.72,Good,High,5.34,8.59,No,Neutral,
USER-00172,55.0,Female,7.22,5.78,3.25,7.68,Poor,High,8.18,0.78,No,Negative,
USER-00173,33.0,Male,8.6,1.11,4.54,5.19,Good,Low,5.01,3.64,Yes,Negative,
USER-00174,18.0,Female,10.93,6.34,2.01,7.6,Excellent,Low,8.07,3.77,No,Negative,
USER-00175,29.0,Male,3.66,2.12,4.32,12.0,Fair,High,7.68,5.02,Yes,Neutral,
USER-00176,30.0,Male,2.48,2.44,2.98,,Good,Medium,5.43,5.49,No,Neutral,
USER-00177,27.0,invalid,6.16,4.18,1.14,,Fair,Low,8.39,3.0,No,Negative,
USER-00178,26.0,Male,7.18,7.8,3.98,13.22,Excellent,invalid,5.78,6.08,No,Negative,
USER-00179,21.0,Male,5.9,4.77,3.04,13.93,Good,Medium,8.19,7.89,Yes,Positive,
USER-00180,38.0,Female,8.38,1.47,3.89,5.0,Excellent,High,6.2,,Yes,Neutral,
USER-00181,61.0,Male,6.75,6.17,2.24,5.52,Fair,Medium,invalid,6.23,No,Neutral,
USER-00182,49.0,Male,4.29,0.35,0.45,11.63,Good,High,7.8,1.61,Yes,Neutral,
USER-00183,54.0,Other,9.89,6.48,1.25,1.17,Good,High,4.55,2.91,No,Neutral,
USER-00184,26.0,Male,1.03,4.85,1.66,4.61,Excellent,Low,7.97,1.06,No,Negative,
USER-00185,65.0,Other,7.58,7.92,1.62,1.4,Fair,Low,5.2,7.24,No,Neutral,
USER-00186,35.0,Male,9.17,invalid,2.25,11.45,Fair,Medium,5.93,3.84,Yes,invalid,
USER-00187,51.0,Male,2.21,5.12,1.19,3.88,Excellent,Medium,8.14,0.1,No,Neutral,
USER-00188,59.0,Female,5.77,2.18,2.46,10.91,Poor,Medium,8.79,4.0,No,Neutral,
USER-00189,42.0,Female,4.63,2.22,1.0,13.11,Good,Low,5.84,8.09,Yes,Positive,
USER-00190,50.0,Male,11.95,1.87,0.25,2.39,Poor,High,4.3,7.09,Yes,Neutral,
USER-00191,53.0,Female,4.62,0.96,0.17,1.84,invalid,Medium,7.71,6.41,No,Neutral,
USER-00192,37.0,Other,7.96,5.36,0.71,4.35,Good,Medium,8.74,4.4,Yes,Positive,
USER-00193,25.0,Female,7.44,6.36,2.46,13.65,Excellent,Low,8.97,5.81,Yes,Negative,
USER-00194,49.0,Male,8.22,4.6,4.31,,Excellent,High,7.37,2.02,Yes,Neutral,
USER-00195,64.0,Female,8.11,6.28,3.42,4.27,Fair,High,7.02,3.27,No,Positive,
USER-00196,46.0,Male,10.59,7.1,1.26,6.28,Excellent,High,5.7,5.13,Yes,Positive,
USER-00197,65.0,Other,11.86,4.95,2.14,1.45,Poor,High,6.16,5.38,Yes,Neutral,
USER-00198,65.0,Female,invalid,0.79,2.69,11.5,Excellent,High,7.47,7.01,No,Neutral,
USER-00199,53.0,invalid,3.09,0.34,1.57,14.05,Excellent,Medium,4.58,7.31,No,Negative,
USER-00200,18.0,Other,3.92,2.44,3.21,4.41,Excellent,Medium,5.4,7.98,No,Negative,
USER-00201,31.0,Male,7.62,4.04,3.29,14.63,Fair,Medium,6.89,3.94,invalid,Negative,
USER-00202,56.0,Female,11.24,2.4,1.45,7.72,Good,Medium,7.66,invalid,Yes,Negative,
USER-00203,64.0,Female,7.69,7.3,2.66,14.9,invalid,Low,7.97,7.55,No,Neutral,
USER-00204,52.0,Male,6.85,6.18,1.76,,Fair,High,8.22,9.03,Yes,Neutral,
USER-00205,21.0,Male,10.83,0.73,0.66,11.48,Good,High,7.33,8.69,No,Negative,
USER-00206,64.0,Other,8.35,2.72,3.73,14.6,Good,High,8.38,5.61,Yes,Negative,
USER-00207,29.0,Male,8.84,invalid,1.03,6.54,Excellent,Low,4.31,3.86,No,Neutral,
USER-00208,36.0,invalid,1.14,6.57,0.03,1.38,Excellent,Low,6.9,0.15,Yes,Neutral,
USER-00209,62.0,Other,5.84,6.76,2.79,1.74,Poor,Low,6.18,9.36,Yes,Positive,
USER-00210,60.0,Male,8.33,1.05,2.3,14.98,Fair,Low,4.31,6.08,No,Neutral,
USER-00211,39.0,Male,7.67,3.24,1.66,6.33,Poor,Medium,7.03,8.93,No,Neutral,
USER-00212,27.0,Female,invalid,1.11,0.49,7.6,Fair,High,4.93,2.36,Yes,,
USER-00213,invalid,Female,11.47,3.18,3.73,1.97,Good,Medium,7.98,invalid,Yes,Neutral,
USER-00214,40.0,Other,10.71,4.11,,3.24,Fair,High,6.18,3.19,Yes,Neutral,
USER-00215,58.0,Female,11.61,2.12,4.44,1.97,Good,Low,7.92,9.2,Yes,Negative,
USER-00216,30.0,Male,8.15,5.74,3.46,9.58,Excellent,High,6.31,,Yes,Positive,
USER-00217,36.0,Other,5.83,1.55,2.66,4.29,Fair,Medium,4.38,9.46,Yes,Neutral,
USER-00218,39.0,Female,4.56,1.28,4.17,2.73,Poor,Low,4.83,6.54,Yes,Negative,
USER-00219,52.0,Male,10.61,4.53,4.48,2.04,Poor,High,5.92,3.41,Yes,Neutral,
invalid,,Other,invalid,2.75,0.45,12.93,Good,High,4.63,9.29,Yes,Negative,
USER-00221,22.0,Male,10.82,1.88,3.47,7.56,Excellent,Medium,invalid,5.73,Yes,Neutral,
USER-00222,52.0,Female,5.16,6.61,0.43,7.97,Good,Low,5.5,1.67,Yes,Negative,
USER-00223,55.0,Other,9.9,3.86,4.91,5.24,Fair,Medium,5.0,6.72,Yes,Neutral,
USER-00224,38.0,Female,5.69,0.3,1.45,8.03,Fair,Low,7.71,1.55,Yes,Neutral,
USER-00225,38.0,Female,7.1,3.08,1.08,10.59,Good,High,8.63,9.35,Yes,Neutral,
USER-00226,49.0,Female,8.78,7.33,2.26,2.54,Poor,Low,4.64,3.8,No,Positive,
USER-00227,42.0,Male,3.78,7.54,3.26,4.86,Poor,Low,5.7,8.64,No,Negative,
USER-00228,25.0,Male,5.21,6.92,3.97,7.5,Fair,Medium,4.76,8.71,No,invalid,
USER-00229,36.0,Other,5.34,1.39,2.09,5.4,Excellent,High,7.17,9.62,Yes,Positive,
USER-00230,45.0,Female,6.31,7.16,4.93,4.75,Good,High,7.16,8.6,No,Negative,
USER-00231,23.0,Other,7.35,4.04,3.42,12.37,Good,invalid,8.42,invalid,No,Neutral,
USER-00232,60.0,Male,1.82,2.27,4.4,10.55,Fair,Medium,7.21,3.27,No,Negative,
USER-00233,64.0,Other,2.53,4.1,4.82,10.13,Fair,Low,4.5,3.56,Yes,Positive,
USER-00234,44.0,Female,5.14,5.82,2.2,3.99,Good,Medium,5.26,8.77,No,Neutral,
USER-00235,34.0,Male,7.02,3.56,1.83,1.64,Excellent,Low,6.19,8.55,Yes,Positive,
USER-00236,33.0,Other,9.24,6.93,0.89,14.33,Good,High,6.91,0.54,No,Negative,
USER-00237,26.0,Male,3.28,3.44,0.14,9.08,Fair,Medium,4.05,2.05,Yes,Neutral,
USER-00238,49.0,Male,8.04,3.1,3.59,14.3,Excellent,Medium,7.6,8.9,No,Negative,
USER-00239,44.0,Female,7.91,3.52,3.0,9.94,Poor,Medium,7.04,2.86,No,Negative,
USER-00240,37.0,Male,5.2,4.55,0.4,14.61,Good,Low,6.79,4.51,No,Positive,
USER-00241,28.0,Male,1.83,3.68,2.2,5.29,Poor,High,4.22,2.47,No,Neutral,
USER-00242,41.0,Other,4.15,3.44,2.64,8.62,Good,Medium,4.02,7.95,No,Positive,
USER-00243,26.0,Male,3.61,3.2,3.3,1.46,Poor,Low,5.18,3.23,No,Negative,
USER-00244,59.0,Male,4.99,7.07,1.18,3.83,Poor,Medium,5.12,8.7,Yes,Negative,
USER-00245,43.0,Other,7.72,5.92,2.52,10.49,Fair,High,5.89,0.2,No,Neutral,
USER-00246,40.0,Female,4.46,2.06,4.31,3.29,Good,Low,8.53,1.89,Yes,Positive,
USER-00247,55.0,Male,6.07,6.88,4.11,2.84,Good,Low,7.81,2.2,No,Negative,
USER-00248,56.0,Other,invalid,4.58,2.8,10.84,Poor,High,5.68,9.53,No,Positive,
USER-00249,50.0,Male,invalid,2.44,3.05,10.61,Fair,Low,5.74,8.31,No,Positive,
USER-00250,46.0,Female,9.94,5.5,3.2,8.24,Excellent,High,6.53,0.26,No,Positive,
USER-00251,23.0,Male,9.57,1.18,0.76,9.46,Poor,Low,6.64,2.54,Yes,Negative,
USER-00252,47.0,Male,3.46,2.98,0.29,6.23,Fair,Medium,5.62,1.49,Yes,Neutral,
USER-00253,39.0,Other,10.81,2.34,2.34,4.81,Poor,Medium,8.19,6.46,Yes,Negative,
USER-00254,48.0,Other,10.11,6.63,1.45,9.77,Good,Low,8.07,1.08,No,Neutral,
USER-00255,31.0,Male,2.58,1.9,4.46,,Poor,Medium,4.82,2.56,No,invalid,
USER-00256,55.0,Female,7.88,5.39,0.29,9.36,Poor,invalid,4.12,9.05,Yes,Neutral,
USER-00257,21.0,Other,6.22,3.98,4.37,3.01,Good,High,6.09,,Yes,Negative,
USER-00258,19.0,Female,10.09,0.9,0.81,12.94,Good,Medium,4.49,4.82,No,Positive,
USER-00259,25.0,Other,9.9,5.54,2.2,5.24,Fair,High,5.43,3.71,No,Positive,
USER-00260,63.0,invalid,1.07,3.39,1.35,8.69,Good,Medium,5.79,1.46,Yes,Neutral,
USER-00261,49.0,Male,7.35,4.11,0.36,6.36,Excellent,Low,4.17,3.95,Yes,Neutral,
USER-00262,27.0,Male,1.22,7.33,1.78,13.56,Good,Medium,8.53,7.33,No,Positive,
USER-00263,27.0,Male,3.03,0.39,3.54,1.59,Poor,Medium,7.59,2.74,Yes,Neutral,
USER-00264,20.0,Male,6.86,5.16,4.64,1.19,Good,Medium,8.14,5.97,No,Positive,
USER-00265,58.0,Other,11.79,5.57,4.65,2.69,Excellent,High,5.2,1.78,No,Positive,
